K01895  	acetyl-CoA synthetase [EC:6.2.1.1]
K01913  	acetate/butyrate---CoA ligase [EC:6.2.1.1 6.2.1.2]
K00169  	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00170  	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00172  	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K00189  	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]
K00171  	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
K03737  	pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]
K00174  	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
K00175  	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
K00163  	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00161  	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
K00162  	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
K00627  	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
K00382  	dihydrolipoamide dehydrogenase [EC:1.8.1.4]
K00656  	formate C-acetyltransferase [EC:2.3.1.54]
K00132  	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
K04072  	acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]
K04073  	acetaldehyde dehydrogenase [EC:1.2.1.10]
K18366  	acetaldehyde/propanal dehydrogenase [EC:1.2.1.10 1.2.1.87]
K04021  	aldehyde dehydrogenase
K13951  	alcohol dehydrogenase 1/7 [EC:1.1.1.1]
K13980  	alcohol dehydrogenase 4 [EC:1.1.1.1]
K13952  	alcohol dehydrogenase 6 [EC:1.1.1.1]
K13953  	alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]
K13954  	alcohol dehydrogenase [EC:1.1.1.1]
K00001  	alcohol dehydrogenase [EC:1.1.1.1]
K00121  	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K18857  	alcohol dehydrogenase class-P [EC:1.1.1.1]
K00002  	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K12957  	alcohol/geraniol dehydrogenase (NADP+) [EC:1.1.1.2 1.1.1.183]
K13979  	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K14028  	methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]
K14029  	methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]
