PID,HP_X,HP_Y,HP_Z,HR_X,HR_Y,HR_Z,HR_W,LP_X,LP_Y,LP_Z,LR_X,LR_Y,LR_Z,LR_W,RP_X,RP_Y,RP_Z,RR_X,RR_Y,RR_Z,RR_W
1,-0.04172923,3.069372,1.484063,0.2270441,-0.05656159,-0.03954523,0.971436,-0.01771501,-0.03690237,1.471904,-0.9673067,0.05625479,-0.1138136,0.2195441,0.09153101,1.405157,1.699366,0.3068516,0.6018054,-0.0709305,0.7339218
1,-0.08476787,3.143973,1.450018,0.2113152,-0.02365586,-0.01743167,0.9769762,-0.04577988,0.007608354,1.480023,-0.9723116,0.03803367,-0.05882676,0.2229419,0.07209022,1.644909,1.66415,0.312157,0.6077762,-0.1189911,0.7204216
1,-0.11076,3.198418,1.365719,0.2015127,-0.003468401,-0.004442436,0.9794697,-0.08368095,0.0766179,1.444894,-0.9769654,0.0172629,-0.0229207,0.2114598,0.2358186,1.923874,1.47567,0.277365,0.6265579,-0.2760987,0.6739907
1,-0.1127245,3.247592,1.229797,0.1824627,-0.000278756,-0.006396223,0.9831919,-0.1095324,0.1314843,1.365278,-0.9796982,0.006147319,-0.001702465,0.2003765,0.4539188,2.254465,1.397307,0.07498122,0.5957596,-0.5535352,0.5771024
1,-0.08803355,3.282317,1.055068,0.1539662,-0.02251155,-0.02305143,0.9875507,-0.1120575,0.1760836,1.23735,-0.9831574,0.007629049,-0.003534973,0.1825676,0.5398011,2.994982,1.207568,-0.1490155,0.4175646,-0.6828013,0.5807036
1,-0.047788,3.296745,0.8586772,0.1358871,-0.06004668,-0.03764313,0.9881863,-0.08003838,0.2186998,1.013196,-0.987972,0.02631081,-0.0306711,0.1492595,-0.08003838,0.2186998,1.013196,0.1492595,-0.0306711,-0.02631081,0.987972
1,-0.0348005,3.292385,0.6540396,0.123247,-0.1588475,-0.04340186,0.9786184,-0.04689404,0.2272302,0.8230312,-0.9873666,0.03920398,-0.08065641,0.1306324,-0.04689404,0.2272302,0.8230312,0.1306324,-0.08065641,-0.03920398,0.9873666
1,-0.01771655,3.28674,0.4520998,0.1199486,-0.2221218,-0.05999948,0.9657506,-0.03238505,0.2237992,0.6258018,-0.9767041,0.05088987,-0.1662671,0.125756,-0.03238505,0.2237992,0.6258018,0.125756,-0.1662671,-0.05088987,0.9767041
1,-0.004767202,3.301269,0.3098609,0.1138659,-0.3004566,-0.04129798,0.9460735,-0.0173259,0.2212659,0.4393826,-0.9648047,0.0496933,-0.2300189,0.1173624,-0.0173259,0.2212659,0.4393826,0.1173624,-0.2300189,-0.0496933,0.9648047
1,0.005150591,3.332992,0.2199434,0.1276887,-0.3070137,-0.05064952,0.9417393,-0.005460695,0.2373535,0.3084195,-0.9479678,0.0443642,-0.2923835,0.1179018,-0.005460695,0.2373535,0.3084195,0.1179018,-0.2923835,-0.0443642,0.9479678
